#{"t_start": 1629995467.5777366, "env_id": "Pendulum-v0"}
r,l,t
-0.545573,200,304.080937
-118.993038,200,304.40108
-236.258966,200,305.016435
-229.885982,200,305.345556
-124.35488,200,305.633789
-118.599339,200,305.938968
-0.476991,200,306.24116
-125.346604,200,306.8246
-119.963397,200,307.098867
-242.23983,200,307.376126
-125.126511,200,307.639422
-118.598281,200,307.911695
-369.19292,200,308.461226
-127.423789,200,308.723523
-240.398072,200,308.99779
-120.584549,200,309.270062
-0.996818,200,309.545326
-237.652852,200,310.090868
-0.191982,200,310.355162
-227.377463,200,310.620452
-123.870161,200,310.885742
-115.868705,200,311.155021
-0.378663,200,311.689594
-128.615491,200,311.957876
-371.097353,200,312.234137
-127.668925,200,312.505411
-118.81854,200,312.774691
-346.59753,200,313.377081
-126.018571,200,313.65035
-124.925331,200,313.921624
-122.912811,200,314.197886
-227.728938,200,314.466168
-118.163415,200,316.568548
-127.720291,200,316.83284
-123.303067,200,317.104115
-237.660204,200,317.374392
-123.804384,200,317.646665
-116.884674,200,318.217139
-3.4304,200,318.481432
-237.834229,200,318.742733
-114.904804,200,319.005032
-121.045773,200,319.26833
-365.602689,200,319.814866
-123.897062,200,320.077166
-127.508091,200,320.341459
-126.82962,200,320.61772
-113.833347,200,320.882013
-339.433084,200,321.428553
-257.102497,200,321.691864
-123.650855,200,321.965118
-124.661718,200,322.232404
-115.245481,200,322.499688
-115.895687,200,323.077146
-234.245304,200,323.347422
-240.992992,200,323.610717
-241.853585,200,323.879998
-250.020291,200,324.148281
-124.841577,200,324.687838
-129.760795,200,324.957118
-240.992529,200,325.23338
-360.439282,200,325.509641
-247.339179,200,325.77493
-122.353855,200,326.322478
-246.118741,200,326.585763
-120.314787,200,326.849059
-249.453219,200,327.113352
-242.741966,200,327.380637
-120.117239,200,327.926178
-1.136298,200,328.198452
-244.49165,200,328.459752
-1.009344,200,328.731027
-125.073347,200,328.99931
-0.335378,200,329.547843
-116.577647,200,329.819117
-116.834302,200,330.083412
-371.942061,200,330.344712
-120.0351,200,330.616985
-127.260484,200,331.159534
-324.30186,200,331.434798
-127.080716,200,331.706073
-241.283131,200,331.970366
-124.448276,200,332.234659
-119.220124,200,332.781196
-116.456069,200,333.051475
-120.401544,200,333.321752
-396.301892,200,333.595021
-240.194261,200,333.860312
-2.738031,200,334.401864
-124.703353,200,334.66117
-126.01178,200,334.922472
-122.375115,200,335.204717
-114.063266,200,335.469012
-121.463841,200,336.090349
-246.057742,200,336.40052
-115.831253,200,336.698722
-240.517917,200,336.986951
-126.541445,200,337.287149
-356.715499,200,337.888541
-235.890229,200,338.215666
-122.680586,200,338.487938
-237.432634,200,338.798109
-238.009171,200,339.092323
-0.62767,200,339.687729
-0.186004,200,339.963991
-118.426008,200,340.275159
-1.07017,200,340.548429
-125.784622,200,340.827682
-120.50834,200,341.3822
-241.743515,200,341.652478
-116.564015,200,341.918765
-114.618519,200,342.214973
-382.20461,200,342.481261
-1.08644,200,343.022813
-1.475977,200,343.292094
-117.534141,200,343.560375
-235.834055,200,343.82867
-242.719338,200,344.107913
-0.258436,200,344.655447
-372.517864,200,344.916749
-129.438248,200,345.196999
-0.974892,200,345.467278
-126.832175,200,345.739549
-334.863487,200,346.294066
-124.523361,200,346.562349
-117.706413,200,346.824649
-0.977963,200,347.090935
-121.500621,200,347.356226
-241.59827,200,347.907751
-2.026035,200,348.177032
-123.092076,200,348.438333
-242.031635,200,348.700631
-118.790078,200,348.96293
-238.077248,200,351.083261
-340.881851,200,351.348551
-127.573216,200,351.614839
-0.767811,200,351.877138
-1.877864,200,352.150407
-239.783442,200,352.692956
-259.618273,200,352.973207
-115.930032,200,353.242487
-356.518756,200,353.511768
-118.87802,200,353.779061
-252.32759,200,354.321602
-125.390774,200,354.595868
-248.115035,200,354.861159
-124.540221,200,355.125452
-128.297309,200,355.396739
-0.430519,200,355.940275
-124.001374,200,356.223516
-128.029867,200,356.490802
-125.763069,200,356.763075
-242.684851,200,357.033351
-121.146907,200,357.581884
-325.96257,200,357.852162
-122.697109,200,358.121441
-246.949527,200,358.389725
-251.26379,200,358.661008
